All,全部
"Client side less compilation",放空则允许从任何位置访问。
"Server side less compilation",服务器端少编译
"Frontend Development Workflow",前端开发流程
"Workflow type",流程类型
"Developer Client Restrictions",开发商客户端限制
"Allowed IPs (comma separated)","允许的 ip 地址 (用逗号分隔)"
"Leave empty for access from any location.",从任何位置留空为访问。
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds %1 %2.","选择此选项以允许DHL 通过拆分订单，如果它超过%1 %2 优化的运费。"
"Wrong Content Type",错误的内容类型
Pounds,英镑
Kilograms,公斤
Inches,英寸
Centimeters,厘米
inch,英寸
cm,厘米
Height,宽度
Depth,深度
Width,宽
Regular,定期的
Specific,具体
"Easy shop",易店
"Express easy",快递很容易
"Break bulk express",散货快递
"Medical express",医疗快递
"Express worldwide",在世界范围内的快递
"Express 9:00","表示 9:00"
"Express 10:30","表示 10:30"
"Domestic economy select",国内经济选择
"Economy select",经济选择
"Domestic express",国内快递
Others,其他
"Globalmail business","Globalmail 业务"
"Same day",同一天
"Express 12:00","表达 12:00"
"Express envelope",快递信封
"Freight worldwide",全球货运
"Jumbo box",珍宝箱
"DHL service is not available at %s date","DHL 服务 %s 日期不可用"
"The response is in wrong format.","响应格式错误。 "
"We had to skip DHL method %1 because we couldn't find exchange rate %2 (Base Currency).","我们不得不跳过 DHL 方法 %1，因为我们找不到汇率 %2 (基础货币)。"
"Zero shipping charge for '%1'","'%1' 的零运费"
"Cannot identify measure unit for %1","找不到 %1 的计量单位"
"Cannot identify weight unit for %1","找不到 %1 的重量单位"
"There is no items in this order",此订单中没有项目。
"Please specify origin country.",请指定原产地。
Documents,文件
"Non Documents",非文件
"Height, width and length should be equal or greater than %1","高度、 宽度和长度应等于或大于 %1"
"Unable to retrieve tracking",无法检索跟踪
"Response is in the wrong format",响应的格式是错误的
"Error #%1 : %2","错误 #%1: %2"
"No packages for request",没有要求包裹
"Unable to retrieve shipping label",无法检索发货标签
"Non documents",非文件
"Enabled for Checkout",免费送货金额门槛
"Access ID","访问 ID"
"Account Number",帐户号码
"Calculate Handling Fee",显示不适用的方法
"Handling Applied",处理的应用
"""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.",“每订单”允许一个单一的手续费整个订单。每包）允许每个包装的个人手续费。
"Handling Fee",处理费
"Divide Order Weight",划分的排序权重
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds 70 kg.",选择这个允许DHL通过超过70公斤的订单来优化运输费用。
"Weight Unit",重量单位
Size,尺寸
"Displayed Error Message",显示的错误消息
"Free Method",免费的方法
"Enable Free Shipping Threshold",启用免费送货阈值
"Free Shipping Amount Threshold",免运费金额门槛
"Ship to Applicable Countries",船舶适用的国家
"Ship to Specific Countries",运到特定国家
"Show Method if Not Applicable","Show 方法不适用"
lbs,磅
kgs,公斤
"Undefined rate from ""%1-%2"".","从""%1%2""的定义的率。"
"Please correct the target currency.",如果是可选的国家允许选择州
"We can't retrieve a rate from %1 for %2.",我们不能从%1中检索%2的速率。
"FATAL ERROR:",致命错误:
"Please specify the correct Import Service.",请指定正确的导入服务。
WARNING:,警告：
"Please correct the country code: %1.",请更正国家代码:%1。
"Country and Format Type combination should be unique",应该是唯一的国家和格式类型组合
"Please correct the rates received",请更正收取的差饷
"Your current currency is: %1.","您当前的货币是: %1。"
Continue,继续
"Currency Update Warnings",货币更新警告
"Currency Setup",货币设置
"Currency Options",货币期权
"Base Currency",基础货币
"Default Display Currency",默认显示货币
"Allowed Currencies",允许的货币
"Connection Timeout in Seconds",连接超时秒数
"Scheduled Import Settings",定时的导入设置
"Error Email Recipient",错误邮件模板
"Error Email Sender",错误的电子邮件发件人
"Error Email Template",错误的电子邮件模板
Service,服务
"Installed Currencies",已安装的货币
"Zip/Postal Code is Optional for",邮政编码是可选的
"State Options",状态选项
"State is Required for",状态是必需的
"Allow to Choose State if It is Optional for Country",允许选择状态，如果它是可选的国家
"The account this API request is coming from is inactive.","此 API 请求来自的帐户处于停用状态。"
"Document is not saved due to error.",由于错误，未能保存文档。
"More than one node matching the query: %1","与查询匹配的多个节点: %1"
"Invalid XML in file %1:\n%2","无效的XML在文件%1:
%2"
"Invalid Document \n%1",无效的文档%1
"Downloadable Information",可下载的信息
"Add New Link",添加新的链接
"Upload Files",上传文件
Unlimited,无限
"Something went wrong while getting the requested content.",在得到请求的内容时出现了问题
"My Downloadable Products",我下载的产品
"We can't find the link you requested.",我们找不到您请求的链接。
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","请登录以下载您的产品或购买 <a href=""%1"">%2</a>。"
"Please sign in to download your product.",请登录后下载您的产品。
"The link has expired.",链接已过期。
"The link is not available.",链接不可用。
"Sorry, there was an error getting requested content. Please contact the store owner.",对不起，这里有一个错误被请求的内容。请与店主联系。
"Please set resource file and link type.",请设置资源文件和链接类型。
"Invalid download link type.",无效下载链接类型。
"Provided content must be valid base64 encoded data.","提供的内容必须是有效的 base64 编码数据。"
"Provided file name contains forbidden characters.",提供的文件名称，包含禁用的字符。
"Link file not provided",不提供链接文件
"Link price must have numeric positive value.",链接价格必须有正的数值。
"Number of downloads must be a positive integer.",下载次数必须是一个正整数。
"Sort order must be a positive integer.",排序顺序必须是一个正整数。
"Link URL must have valid format.","链接的 URL 必须有有效的格式。"
"Provided file content must be valid base64 encoded data.","提供的内容必须是有效的 base64 编码数据。"
"Sample URL must have valid format.","样品的 URL 必须有有效的格式。"
"Order id cannot be null","订单 id 不能为空"
"Order item id cannot be null","订单项目 id 不能为空"
"Please specify product link(s).",请指定产品链接。
"Sample file not provided",不提供示例文件
attachment,附件
inline,行内
Pending,待付款
"To enable the option set the weight to no","以启用该选项将设置为 no 的重量"
"Is this downloadable Product?",这是可下载的产品吗?
Links,链接
"Links can be purchased separately",可以单独购买链接
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","字母数字、 破折号和下划线字符建议的文件名。不正确的字符替换为 _。"
"Add Link",添加链接
Sample,示例
Shareable,可共享
"Max. Downloads",最大值。下载
Samples,样本
sample,示例
"Is this a downloadable Product?",这是一个可下载的产品吗？
"Add links to your product files here.",将链接添加到您的产品文件在这里。
"Attach File or Enter Link",附加文件或输入链接
"Add product preview files here.",添加产品预览文件在这里。
"Unselect all",取消全选
"Go to <a href=""%1"">My Downloadable Products</a>","去 <a href=""%1""> 我可下载的产品</a>"
"Downloadable Products",可下载的产品
"Remaining Downloads",其余的下载
"View Order",查看订单
"Start Download",开始下载
"You have not purchased any downloadable products yet.",您还没有购买任何可下载的产品。
download,下载
"Downloadable Product Section",可下载的产品部分
Downloads,下载附件
"Downloadable Product Options",可下载的产品选项
"Order Item Status to Enable Downloads",订单项的状态，使下载
"Default Maximum Number of Downloads",默认最大数量的下载
"Default Sample Title",默认标题示例
"Default Link Title",默认链接标题
"Open Links in New Window",在新窗口中打开链接
"Use Content-Disposition",使用内容处置
"Disable Guest Checkout if Cart Contains Downloadable Items",如果禁用来宾结帐车包含可下载的项目
"Guest checkout will only work with shareable.",仅来宾结帐将可共享使用。
"Default Label",默认标签
"Default label",默认标签
"Values Required",必须设定任务名
"Decimal Number",十进制数
"Integer Number",整数
Letters,字母
"Letters (a-z, A-Z) or Numbers (0-9)","字母 (a 到 z、 A 到 Z) 或数字 (0-9)"
"Input type ""%value%"" not found in the input types list.","""%value%""在输入的类型列表中未找到的输入的类型。"
"Entity object is undefined",是未定义的实体对象
"""%1"" is not a valid image format","""%1""不是一种有效的图像格式"
"""%1"" cannot contain more than %2 lines.","""%1""不能包含超过 %2 行。"
"Invalid entity_type specified: %1","指定的无效 entity_type: %1"
"Entity is not initialized",实体是未初始化
"Unique constraint violation found",发现违反唯一约束
"The attribute code '%1' is reserved by system. Please try another attribute code","属性代码 '%1' 是系统保留的。请尝试另一个属性代码"
"Source model ""%1"" not found for attribute ""%2""","源模型找不到属性""%2""""%1"""
"Invalid date",无效的日期
"No options found.",发现没有选项。
"Invalid attribute identifier for filter (%1)","筛选器 (%1) 无效的属性标识符"
"Joint field or attribute expression with this alias is already declared",已经声明了使用该别名的联合字段或属性表达式
"Invalid alias, already exists in joint attributes",无效的别名，已经存在于联合属性
"A joined field with this alias is already declared.",已声明此别名的联合的字段。
"Invalid joint fields",无效的联合字段
"Invalid character encountered in increment ID: %1","在增量 ID 中遇到无效字符: %1"
"The current module pathname is undefined.",当前模块路径名是未定义的。
"The current module EAV entity is undefined.","当前模块 EAV 实体是未定义的。"
"The form code is not defined.",未定义的窗体代码。
"The entity instance is not defined.",未定义的实体实例。
"Attribute with the same code",使用相同的代码属性
"The storefront label is not defined.",不定义该店面的标签。
"Attribute group with same code already exist. Please rename ""%1"" group","属性组相同的代码已经存在。请重命名""%1""组"
"Form Element with the same attribute",具有相同的属性表单元素
"Form Fieldset with the same code",表单字段使用相同的代码
"Form Type with the same code",使用相同的代码的表单类型
"The value of attribute ""%1"" is invalid.","""%1""属性的值是无效的。"
"Attribute with ID: ""%1"" does not exist","Id 为""%1""的属性不存在。"
"AttributeSet does not exist.","AttributeSet 不存在。"
hello,你好
"Some internal exception message.",一些内部异常消息。
"The value of attribute not valid",属性无效的值
"EAV types and attributes","EAV 类型和属性"
"Entity types declaration cache",实体类型声明缓存
"There is no such data mapper ""%1"" for interface %2","没有接口 %2 的数据映射器 ""%1"""
"Data mapper ""%1"" must implement interface %2","数据映射器 ""%1"" 必须实现接口%2"
"Could not ping search engine: %1","不能 ping 搜索引擎: %1"
"Elasticsearch Server Hostname","Elasticsearch 服务器主机名"
"Elasticsearch Server Port","Elasticsearch 服务器端口"
"Elasticsearch Index Prefix","Elasticsearch 索引前缀"
"Enable Elasticsearch HTTP Auth","启用 Elasticsearch HTTP 身份验证"
"Elasticsearch HTTP Username","Elasticsearch HTTP 用户名"
"Elasticsearch HTTP Password","Elasticsearch HTTP 密码"
"Elasticsearch Server Timeout","Elasticsearch 服务器超时"
"Test Connection",测试连接
"Add New Template",添加新模板
"Transactional Emails",交易邮件
"Delete Template",删除模板
"Convert to Plain Text",转换为纯文本
"Return Html Version","返回 Html 版本"
"Preview Template",预览模板
"Save Template",保存模板
"Load Template",加载模板
"Edit Email Template",编辑电子邮件模板
"New Email Template",新电子邮件模板
"Template Information",模板信息
"Currently Used For",目前用于
"Template Name",模板名称
"Template Subject",模板主题
"Insert Variable...",插入变量…
"Template Content",模板内容
"Template Styles",模板中的样式
"You deleted the email template.",你删除了电子邮件模板。
"The email template is currently being used.",当前正在使用的电子邮件模板。
"We can't delete email template data right now. Please review log and try again.",我们现在不能删除电子邮件模板数据。请检查日志并再试一次。
"We can't find an email template to delete.",我们找不到要删除的电子邮件模板。
"Edit Template",编辑模板
"Edit System Template",编辑系统模板
"New Template",新建模板
"New System Template",新系统模板
"Email Templates",邮件模板
"Email Preview",电子邮件预览
"An error occurred. The email template can not be opened for preview.",发生了一个错误。不能打开电子邮件模板预览。
"This email template no longer exists.",此电子邮件模板不再存在。
"You saved the email template.",你保存的电子邮件模板。
"Template Variables",模板变量
"Please enter a template name.",请输入模板的名称。
"Duplicate Of Template Name",模板名称重复
"Invalid transactional email code: %1","无效的电子邮件交易代码: %1"
"Requested invalid store ""%1""","要求无效的商店""%1"""
"""file"" parameter must be specified","必须指定""文件""参数"
"""file"" parameter must be specified and must not be empty","""文件""参数必须指定，并且不能为空"
"Design params must be set before calling this method",调用此方法之前，必须设置设计参数
"<pre> %1 </pre>",<pre>%1</pre>
"CSS inlining error:","CSS 行内错误:"
"Error filtering template: %s","错误过滤模板:% s"
"We're sorry, an error has occurred while generating this content.","很抱歉, 生成此内容时发生错误。"
"Invalid sender data",无效发件人数据
"Are you sure you want to strip tags?",你确定你想要去除标签?
"Are you sure you want to delete this template?",是否确实要删除此模板?
"The template did not load. Please review the log for details.",未加载该模板。请查看日志的详细信息。
"Thank you, %store_name","谢谢你 %store_name"
"No Templates Found",没有找到模板
"Template Type",模板类型
"Logo Image","Logo 替代文字"
"Logo Image Alt","Logo 图像 Alt"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".",只有在上面上传了图像时才有必要。输入像素数，不加“PX”。
"Logo Width","Logo 宽度"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","只有在上面上传了图像时才有必要。在不附加“像素”的情况下输入图像高度大小为像素。 "
"Logo Height",Logo高度
"Email template chosen based on theme fallback, when the ""Default"" option is selected.",选择了基于主题回退的电子邮件模板，当选择“默认”选项时。
"Header Template",页眉模板
"Footer Template",页脚模板
"Change Encryption Key",更改加密密钥
"Encryption Key",加密密钥
"New Encryption Key",新的加密密钥
"The encryption key is used to protect passwords and other sensitive data.",加密密钥用于保护密码和其他敏感数据。
"Auto-generate a Key",自动生成密钥
"The generated key will be displayed after changing.",生成的密钥将在更改后显示。
"New Key",新的密钥
"Deployment configuration file is not writable.",部署配置文件不可写。
"Please enter an encryption key.",请输入加密密钥。
"The encryption key has been changed.",加密密钥已被更改。
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","这是你新的加密密钥︰ %1。一定要写下来并保存好 ！"
"Manage Encryption Key",管理加密密钥
"Private Sales",私人销售
"Address Verification",验证地址
"Email Verification",电子邮件验证
"Mobile Verification",移动核查
"Phone Verification",电话核查
"Response Code",响应代码
"Fraud Message",欺诈邮件
"Approve Message",批准的消息
"Wrong response type",错误的反应类型
"Connection Type",连接类型
"Sandbox Mode",沙盒模式
"Live API Key","活的 API 密钥"
"Live API Password","活的 API 密码"
"Live Client-side Encryption Key",现场客户端加密密钥
"Sandbox API Key","沙箱 API 密钥"
"Sandbox API Password","沙箱 API 密码"
"Sandbox Client-side Encryption Key",沙箱客户端加密密钥
"Transaction has been declined, please, try again later.",交易记录已被拒绝。请稍后再试。
"Switch/Solo/Maestro Only",问题编号
"Issue Number",发行号
"Europe First Priority",若选择职能递送方法，该字段适用
"1 Day Freight","1 天货运"
"2 Day Freight","2 天货运"
"2 Day","2 天"
"2 Day AM","2 日上午"
"3 Day Freight","3 天货运"
"Express Saver",表示保护程序
"First Overnight",第一夜
"Home Delivery",送货上门
"International Economy",国际经济
"Intl Economy Freight",国际经济货运
"International First",国际第一
"International Ground",国际地面
"International Priority",国际优先事项
"Intl Priority Freight",国际优先货运
"Priority Overnight",隔夜优先
"Smart Post",智能的帖子
"Standard Overnight",标准的一夜
Freight,运输
"National Freight",全国货运
"Regular Pickup",定期的检查
"Request Courier",要求快递
"Drop Box",下拉框
"Business Service Center",商务服务中心
Station,车站
"FedEx Envelope",联邦快递信封
"FedEx Pak",联邦快递包
"FedEx Box",联邦快递的盒子
"FedEx Tube",联邦快递管
"FedEx 10kg Box","联邦快递 10 公斤箱"
"FedEx 25kg Box","联邦快递 25 公斤箱"
"Your Packaging",您的包装
"Not Required",不是必需的
Adult,成人
Direct,直接
Indirect,间接
"Invalid response from carrier",无效的响应载体
"No available tracking items",没有可用的跟踪项目
"For some reason we can't retrieve tracking info right now.",出于某种原因，我们无法检索跟踪信息现在。
status,状态
"Empty response",空响应
FedEx,联邦快递
"Account ID","帐户 ID"
"Please make sure to use only digits here. No dashes are allowed.","请务必只在这里使用数字。不允许有破折号。 "
"Meter Number",米数
Key,密钥
"Web-Services URL (Production)","Web 服务 URL (生产)"
"Web-Services URL (Sandbox)","Web 服务 URL (沙盒)"
"Packages Request Type",包请求类型
Packaging,包装
Dropoff,摘下
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","最大包装重量（请参阅您的航运承运人最大支持重量） "
"Residential Delivery",住宅交付
"Allowed Methods",允许的方法
"Hub ID","集线器 ID"
"The field is applicable if the Smart Post method is selected.","如果选择了智能POST方法，则该字段是适用的。 "
"Gift Card Information",礼品卡信息
Virtual,虚拟
Physical,物质
Combined,联合
"Add Amount",添加量
"Gift Card Type",代金卡类型
"Gift Card Sender",代金卡发件人
"Gift Card Recipient",代金卡收件人
"Gift Card Message",代金卡信息
"Gift Card Lifetime",代金卡寿命
"Gift Card Is Redeemable",代金卡是可赎回
"We cannot create this gift card.",我们无法创建此代金卡。
"Gift Card Accounts",收件人电子邮件
"Duplicate amount found.",发现的重复量。
"Something went wrong while preparing the gift card.",同时准备的代金卡，出了错。
"Please specify a gift card amount.",请指定代金卡金额。
"Please specify all the required information.",请指定所有必需的信息。
"Gift Card max amount is %1","代金卡的最大金额是 %1"
"Gift Card min amount is %1","代金卡的最大金额是 %1"
"Please specify a recipient name.",请指定一个收件人的名称。
"Please specify a sender name.",请指定发件人的名称。
"Please specify a recipient email.",请指定收件人的电子邮件。
"Please specify a sender email.",请指定发件人的电子邮件。
"Some gift card accounts were not created properly. You can create gift card accounts manually <a href=""%1"">here</a>.","一些代金卡帐户创建不正确。您可以创建代金卡帐户手动 <a href=""%1""> 在这里</a>。"
"Treat Balance as Store Credit",把余额作为存储信用
"Lifetime (days)","有效期 (天)"
"Allow Message",允许消息
"All Websites [%1]","全部站点 [%1]"
"Choose an Amount...",选择数量......
"Other Amount...",其他金额...
"Amount in %1","在 %1 中的金额"
Minimum,最低
Maximum,最大值
"Recipient Name",收件人姓名
"Recipient Email",收件人的电子邮件
"Maximum length of the message is %1 characters.","消息的最大长度是 %1 个字符。"
"Delete Amount",删除量
"Minimum: %1","最低: %1"
"Maximum: %1","最高: %1"
"You've been sent a gift from %store_name",%store_name送您一份礼品
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender 已经寄给你一张代金卡，用于在 <a href=""%store_url""> %store_name</a> 和它现在是准备用于购买。"
"Gift Cards",礼品卡
"Gift Card Email Settings",代金卡电子邮件设置
"Gift Card Notification Email Sender",代金卡通知电子邮件发件人
"Gift Card Notification Email Template",代金卡通知电子邮件模板
"Gift Card General Settings",代金卡一般设置
Redeemable,可赎回
"If empty no expiration.",如果空没有过期。
"Allow Gift Message",允许的礼物留言
"Gift Message Maximum Length",礼物信息的最大长度
"Generate Gift Card Account when Order Item is",订单项目时生成代金卡帐户
"Add Gift Card Account","该卡具有%余额的平衡，可以在<a href=""%store_url"">%store_name</a>的使用。"
"Save & Send Email","保存、 发送电子邮件"
"Edit Gift Card Account: %1","编辑代金卡帐号: %1"
"New Gift Card Account",新代金卡帐户
Information,信息
"Gift Card Code",代金卡代码:
"Send Gift Card",送代金卡
"Send Email from the Following Store View",从以下商店视图发送邮件
"-- First Please Select a Website --",--第一次请选择网站--
"Gift Card Account",代金卡帐户
History,历史
"This gift card account has been deleted.",此代金卡帐户已被删除。
"We couldn't find a gift card account to delete.",我们找不到要删除的代金卡帐户。
"Edit Gift Card Account",编辑代金卡帐户
"New Account",新帐户
"New code pool was generated.",生成新代码池。
"We were unable to generate a new code pool.",我们都无法生成新的代码库。
"Please select a gift card account(s)",请选择代金卡帐户
"You deleted a total of %1 records.",你一共有%1的记录删除。
"You saved the gift card account.",你保存的代金卡帐户。
"An email was not sent because the gift card account is not active.",一封电子邮件未被发送，因为礼物卡帐户未处于活动状态。
"You saved the gift card account, but an email was not sent.",你保存的代金卡帐户，但不是发送电子邮件。
"We will refund the gift card amount to your customer’s store credit",我们将退还给您的客户的商店信用代金卡金额
"Please enable Store Credit to refund the gift card amount to your customer",请启用商店信用退还给您的客户的代金卡金额
"Gift Card ""%1"" was added.","添加了代金卡""%1""。"
"We cannot apply this gift card.",我们不能应用此代金卡。
"Gift Card ""%1"" was removed.","代金卡""%1""被删除。"
"You can't remove this gift card.",您不能删除此代金卡。
"You can't redeem a gift card now.",您现在不能兑换一张代金卡。
"Gift Card ""%1"" was redeemed.","代金卡""%1""在中赎回。"
"We cannot redeem this gift card.",我们不能赎此代金卡。
"The expiration date must be set in the future.",到期日期必须设定在未来。
"The balance cannot be less than zero.",平衡不能小于零。
"This gift card account is already in the quote.",此代金卡帐户已在报价。
"Please correct the gift card account code: ""%1"".","请更正代金卡帐户码:""%1""。"
"This gift card account wasn't found in the quote.",此代金卡帐户在报价单中找不到。
"Please correct the gift card account ID. Requested code: ""%1""","请更正代金卡帐户 id。请求代码:""%1"""
"Please correct the gift card account website: %1.","请更正代金卡帐户网站: %1。"
"Gift card account %1 is not enabled.","代金卡帐户 %1 未启用。"
"Gift card account %1 is expired.","代金卡帐户 %1 已过期。"
"Gift card account %1 has a zero balance.","代金卡帐户 %1 有余额为零。"
"Gift card account %1 balance is lower than the charged amount.","代金卡帐户 %1 余额小于收取的金额。"
Available,可用
Redeemed,赎回
Expired,已过期
"Please enter a valid customer ID.","请输入一个有效的客户 id。"
"Gift Card Redeemed: %1. For customer #%2.","代金卡兑换: %1。为客户 #%2。"
"Order #%1.","订单 #%1"
"Recipient: %1.","收件人: %1。"
"Customer #%1.","客户 %1"
"Please assign a gift card account.",请分配一个代金卡帐户。
"Unknown history action.",未知的历史作用。
"We were unable to create full code pool size. Please check settings and try again.",我们是无法创建完整的代码池大小。请检查设置，然后重试。
"No codes left in the pool.",没有代码留在池中。
Alphabetical,字母表
Numeric,数字
"The maximum generated code length is 255. Please correct your settings.","最大生成的代码长度是 255。请更正您的设置。"
"test message",测试消息
Generate,生成
"Code Pool used: ",使用的代码库:
" (free ",(免费
" of ",的
" total).",共有)。
"Are you sure you want to continue without saving your changes?",你确定你想要继续而不保存您的更改?
"Refund Gift Cards to Store Credit",退还代金卡来存储信贷
"Add Gift Card",添加代金卡
"Gift Card (%1)","代金卡 (%1)"
"This won't take long . . .","这不会需要很长时间。 。 。"
"Enter gift card code",输入代金卡码
"Redeem Gift Card",兑换代金卡
"Check status and balance",检查状态和平衡
"Have a gift card? ",有一张代金卡吗?
"Click here",点击此处
" to redeem it.",想要拯救。
"Enter the gift card code",输入代金卡码
"Check Gift Card status and balance",检查代金卡的状态和平衡
"Gift Card: ",礼品卡:
"Current Balance: ",当前余额:
"Expires: ",过期:
"Please enter a valid gift card code.",请输入一个有效的代金卡码。
"Add or remove gift cards",添加或删除代金卡
"Gift Card amount applied to order:",代金卡金额适用于订单:
"You've been sent a gift card for use at %store_name and it is now ready to be used for purchases.","你送礼物卡，用于在 %store_name 和它现在是准备用于购买。"
"Gift Card Code: %code","代金卡码: %code"
"The card has a balance of %balance and can be used at ","卡有余额 %balance，可以在使用"
"Apply Gift Card",申请代金卡
"Gift Card:",礼品卡:
"See Balance",查看余额
"Gift Card amount applied to order: ",代金卡金额适用于订单:
"Email Sent from Gift Card Account Management",从代金卡帐户管理发送的电子邮件
"Gift Card Email Sender",代金卡电子邮件发件人
"Gift Card Template",代金卡模板
"Gift Card Account General Settings",代金卡账户一般设置
"Code Length",每x个字符加横线
"Excluding prefix, suffix and separators.","不包括前缀、 后缀和分隔符。"
"Code Format",代码格式
"Code Prefix",代码前缀
"Code Suffix",代码后缀
"Dash Every X Characters","冲每 X 个字符"
"if empty no separation",如果空没有分离
"New Pool Size",新池大小
"Low Code Pool Threshold",低代码池阈值
"IMPORTANT: Be sure to save your configuration before running generation process.","重要: 请务必保存您在运行生成过程之前的配置。"
"Are you sure you want to delete these gift card accounts?",是否确实要删除这些代金卡帐户?
"Unknown entity type",未知的实体类型
"Test label",测试标签
"Gift Options",礼物选项
"Do you have any gift items in your order?",您的订单有什么礼物吗?
"Add Gift Options",添加礼物选项
"Gift Options for the Entire Order",整个订单的礼物选项
"Leave this box blank if you don't want to leave a gift message for the entire order.",将此框保留为空，如果你不想离开整个订单的礼物留言。
"Gift Options for Individual Items",个别项目的礼物选项
"<span>Item %1</span> of %2","<span>项目 %1</span> 的 %2"
"Leave a box blank if you don't want to add a gift message for that item.",将框留空，如果你不想添加该项目的礼物留言。
"Add Gift Options for the Entire Order",添加整个订单的礼物选项
"You can leave this box blank if you don't want to add a gift message for this address.",您可以将此框留空，如果你不想要添加此地址的礼物留言。
"Add Gift Options for Individual Items",为个别项目添加礼物选项
"You can leave this box blank if you don't want to add a gift message for the item.",您可以将此框留空，如果你不想要添加项目的礼物留言。
"Gift Message (optional)","(可选) 的礼物留言"
"Gift options",礼物选项
"Allow Gift Messages on Order Level",允许订单的礼物留言
"Allow Gift Messages for Order Items",允许订购物品的礼品信息
"Are you sure you want to delete this gift registry?",你确定要删除此礼品登记？
"Delete Registry",删除注册表
"Gift Registry Entity",礼物注册表实体
"Product ID","产品 ID"
"Add to Gift Registry",将添加到注册表的礼物
"Are you sure you want to add these products?",你确定你想要添加这些产品?
Requested,剩余
Fulfilled,完成
Note,注意
"Update Quantity",更新数量
"Remove Item",删除项目
"Sharing Information",该产品缺货
Emails,电子邮件
"Send From",发送自
"Share Gift Registry",份额的礼物注册表
"Gift Registry",礼品登记
Event,事件
Registrants,注册人
"Event Date",事件日期
"Total Items",总项目
Remaining,剩余
Public,私人
"Gift Registry Types",礼物的注册表类型
"Add Gift Registry Type",添加礼品注册表类型
"If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?",如果您删除此礼物注册表类型，则还删除使用这种类型的客户登记册。你想要继续吗?
"Edit '%1' Gift Registry Type","编辑 '%1' 礼物注册表类型"
"New Gift Registry Type",新礼物注册表类型
Short,短
Long,长
Full,全
"Is Listed",列出
"Edit Gift Registry",编辑注册表的礼物
"Create Gift Registry",创建礼品登记
"Please select a region, state or province","请选择地区、 州或省"
"View Gift Registry %1","查看礼品注册表 %1"
"Share '%1' Gift Registry","分享 '%1' 礼品登记"
"Gift Registry Search",礼物注册表搜索
"Select Search Type",快速搜索表单类型
Registrant,注册人
"Registry owner",注册表所有者
"Shopping cart items have been added to gift registry.",购物车项目已添加到礼品登记。
"Virtual, Downloadable, and virtual Gift Card products cannot be added to gift registries.","虚拟化、 可下载，和虚拟礼品卡产品无法添加到礼品登记册。"
"We can't add shopping cart items to the gift registry right now.",我们不能购物车项目向注册表中添加的礼物现在。
"You deleted this gift registry entity.",您删除此礼物注册表实体。
"We couldn't delete this gift registry entity.",我们不能删除此礼物注册表实体。
"Edit '%1' Gift Registry","编辑 '%1' 礼品登记"
"Something went wrong while editing the gift registry.",编辑礼品登记时出了错。
"%1 email(s) were sent.","%1 email(s) 被送。"
"We couldn't send '%1 of %2 emails.","我们无法发送 '%1 %2 的电子邮件。"
"You updated this gift registry.",你更新此礼品登记。
"We can't update these gift registry items right now.",我们现在不能更新这些礼物注册表项目。
"You deleted the gift registry type.",您删除该礼物注册表类型。
"We couldn't delete this gift registry type.",我们不能删除这个礼物的注册表类型。
"Edit Type",编辑类型
"New Type",新类型
"You saved the gift registry type.",你保存的礼物注册表类型。
"We can't save this gift registry type right now.",我们现在不能保存此礼物注册表类型。
"%1 item(s) have been added to the gift registry.","%1 项目已添加到礼品登记。"
"We have nothing to add to this gift registry.",我们没有什么要添加到此礼品登记。
"You can't add virtual products, digital products or gift cards to gift registries.","你不能添加虚拟产品、 数码产品或礼品卡礼品登记册。"
"You deleted this gift registry.",您删除此礼品登记。
"Something went wrong while deleting the gift registry.",删除礼品登记时出了错。
"You saved this gift registry.",你保存这礼物登记处。
"We couldn't save this gift registry.",我们不能保存此礼品登记。
"Gift Registry Items",礼物的注册表项
"Something went wrong while sending email(s).","发送 email(s) 时出了错。"
"Something went wrong while sharing the gift registry.",删除礼品登记时出了错。
"You updated the gift registry items.",你更新注册表礼品。
"We couldn't update the gift registry.",我们不能更新礼物登记处。
"The wish list item has been added to this gift registry.",收藏清单项目已添加到此礼品登记。
"We couldn’t add your wish list items to your gift registry.",我们不能将您的收藏列表项添加到你礼物注册表。
"Please enter correct search options.",请输入正确的搜索选项。
"Please enter at least 2 letters of the first name.","请输入姓氏的至少 2 个字母。"
"Please enter at least 2 letters of the last name.","请输入姓氏的至少 2 个字母。"
"Please enter a valid email address.",请输入一个有效的电子邮件地址。
"Please enter a gift registry ID.","请输入一个礼物注册表 id。"
"Please enter the quantity of items to add to cart.",请输入要添加到购物车的项的数量。
"Gift Registry Info",礼物注册表信息
